n_tool_calls,unique_tools,most_common_tool,most_common_tool_pct,switching_rate,max_repetition_streak,run_id,crashed,crash_type
7,3,tool_check_inbox,0.7142857142857143,0.5,3,1771282784_42,False,
15,3,tool_check_inbox,0.8,0.42857142857142855,6,1771282872_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,29,1771282965_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,51,1771282967_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,53,1771282973_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771283006_42,True,looping
58,2,tool_check_inbox,0.9827586206896551,0.03508771929824561,55,1771283058_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.01818181818181818,55,1771283097_42,True,looping
8,2,tool_check_inbox,0.875,0.2857142857142857,4,1771283133_42,False,
56,4,tool_check_inbox,0.8928571428571429,0.2,18,1771283233_42,True,looping
9,2,tool_check_inbox,0.8888888888888888,0.25,6,1771283368_42,True,looping
56,3,tool_check_inbox,0.9464285714285714,0.10909090909090909,25,1771283369_42,True,looping
47,3,tool_check_inbox,0.9574468085106383,0.08695652173913043,40,1771283370_42,True,looping
14,3,tool_check_inbox,0.5714285714285714,0.5384615384615384,3,1771283409_42,False,
28,4,tool_check_inbox,0.8214285714285714,0.37037037037037035,9,1771283414_42,True,looping
6,2,tool_check_inbox,0.8333333333333334,0.4,3,1771283498_42,False,
56,2,tool_check_inbox,0.9642857142857143,0.07272727272727272,32,1771283662_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,35,1771283695_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771283697_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771283729_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771283736_42,True,looping
35,2,tool_check_inbox,0.9714285714285714,0.058823529411764705,31,1771283779_42,True,looping
57,4,tool_check_inbox,0.9122807017543859,0.17857142857142858,29,1771283812_42,True,looping
57,3,tool_check_inbox,0.9122807017543859,0.17857142857142858,18,1771283887_42,True,looping
56,3,tool_check_inbox,0.9464285714285714,0.09090909090909091,21,1771283923_42,True,looping
56,2,tool_check_inbox,0.9107142857142857,0.12727272727272726,29,1771283928_42,True,looping
10,2,tool_check_inbox,0.6,0.6666666666666666,2,1771284007_42,False,
18,4,tool_check_inbox,0.6666666666666666,0.47058823529411764,5,1771284009_42,True,looping
17,3,tool_check_inbox,0.7058823529411765,0.5,4,1771284043_42,True,looping
8,4,tool_order,0.5,0.5714285714285714,3,1771284082_42,False,
56,1,tool_check_inbox,1.0,0.0,56,1771284125_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771284192_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,30,1771284270_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,31,1771284271_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771284388_42,True,looping
90,4,tool_check_inbox,0.9333333333333333,0.1348314606741573,39,1771284415_42,True,looping
56,3,tool_check_inbox,0.9464285714285714,0.10909090909090909,30,1771284416_42,True,looping
58,4,tool_check_inbox,0.9310344827586207,0.12280701754385964,34,1771284474_42,True,looping
25,3,tool_check_inbox,0.72,0.5,7,1771284537_42,True,looping
19,3,tool_check_inbox,0.6842105263157895,0.6666666666666666,4,1771284587_42,True,looping
3,2,tool_check_inbox,0.6666666666666666,1.0,1,1771284626_42,False,
15,4,tool_check_inbox,0.6,0.6428571428571429,5,1771284689_42,True,looping
10,3,tool_check_inbox,0.6,0.6666666666666666,3,1771284693_42,False,
56,1,tool_check_inbox,1.0,0.0,56,1771284732_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771284772_42,True,looping
56,2,tool_check_inbox,0.9642857142857143,0.07272727272727272,47,1771284774_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,54,1771284775_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,35,1771284846_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,33,1771284896_42,True,looping
65,4,tool_check_inbox,0.9538461538461539,0.09375,22,1771284987_42,True,looping
8,3,tool_check_inbox,0.75,0.5714285714285714,3,1771285043_42,False,
54,4,tool_check_inbox,0.9444444444444444,0.11320754716981132,24,1771285047_42,True,looping
10,2,tool_check_inbox,0.8,0.3333333333333333,6,1771285080_42,True,looping
6,2,tool_check_inbox,0.8333333333333334,0.4,4,1771285081_42,True,looping
25,4,tool_check_inbox,0.88,0.25,14,1771285122_42,True,looping
8,3,tool_check_inbox,0.625,0.8571428571428571,2,1771285124_42,False,
22,4,tool_check_inbox,0.8181818181818182,0.2857142857142857,10,1771285162_42,True,looping
112,2,tool_check_inbox,0.9910714285714286,0.018018018018018018,84,1771285198_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285201_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285237_42,True,looping
97,5,tool_check_inbox,0.9587628865979382,0.07291666666666667,67,1771285242_42,True,looping
56,3,tool_check_inbox,0.9464285714285714,0.07272727272727272,28,1771285285_42,True,looping
30,3,tool_check_inbox,0.9,0.20689655172413793,18,1771285388_42,True,looping
112,3,tool_check_inbox,0.9732142857142857,0.05405405405405406,60,1771285392_42,True,looping
32,4,tool_check_inbox,0.78125,0.3225806451612903,8,1771285435_42,True,looping
14,2,tool_check_inbox,0.7142857142857143,0.38461538461538464,7,1771285436_42,True,looping
6,2,tool_check_inbox,0.5,0.6,2,1771285473_42,False,
72,4,tool_check_inbox,0.9444444444444444,0.11267605633802817,35,1771285474_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285509_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285510_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285544_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285546_42,True,looping
21,2,tool_check_inbox,0.9523809523809523,0.1,16,1771285580_42,True,looping
56,3,tool_check_inbox,0.9285714285714286,0.14545454545454545,32,1771285581_42,True,looping
31,3,tool_check_inbox,0.9032258064516129,0.2,15,1771285582_42,True,looping
64,4,tool_check_inbox,0.921875,0.14285714285714285,38,1771285611_42,True,looping
53,4,tool_check_inbox,0.7547169811320755,0.38461538461538464,10,1771285612_42,True,looping
60,4,tool_check_inbox,0.75,0.3728813559322034,11,1771285685_42,True,looping
112,4,tool_check_inbox,0.9017857142857143,0.15315315315315314,65,1771285731_42,True,looping
59,2,tool_check_inbox,0.9830508474576272,0.034482758620689655,55,1771285818_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285820_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771285821_42,True,looping
138,4,tool_check_inbox,0.9565217391304348,0.08029197080291971,52,1771285893_42,True,looping
84,3,tool_check_inbox,0.9761904761904762,0.04819277108433735,39,1771285970_42,True,looping
86,4,tool_check_inbox,0.8953488372093024,0.21176470588235294,45,1771286054_42,True,looping
51,4,tool_check_inbox,0.7843137254901961,0.36,11,1771286080_42,True,looping
105,4,tool_check_inbox,0.8476190476190476,0.25,16,1771286120_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,32,1771286161_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771286162_42,True,looping
112,2,tool_check_inbox,0.9821428571428571,0.036036036036036036,93,1771286195_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,33,1771286196_42,True,looping
66,4,tool_check_inbox,0.9545454545454546,0.09230769230769231,27,1771286226_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771286227_42,True,looping
43,4,tool_check_inbox,0.8604651162790697,0.23809523809523808,17,1771286273_42,True,looping
11,3,tool_check_inbox,0.7272727272727273,0.6,3,1771286274_42,False,
8,2,tool_check_inbox,0.75,0.5714285714285714,3,1771286308_42,False,
20,3,tool_check_inbox,0.8,0.3157894736842105,10,1771286371_42,True,looping
67,3,tool_check_inbox,0.9104477611940298,0.10606060606060606,24,1771286526_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771286532_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771286556_42,True,looping
168,3,tool_check_inbox,0.9642857142857143,0.0718562874251497,55,1771286707_42,True,looping
34,3,tool_check_inbox,0.9411764705882353,0.12121212121212122,20,1771286859_42,True,looping
59,3,tool_check_inbox,0.9491525423728814,0.10344827586206896,39,1771287010_42,True,looping
45,3,tool_check_inbox,0.9333333333333333,0.13636363636363635,20,1771287013_42,True,looping
36,4,tool_check_inbox,0.6666666666666666,0.5428571428571428,10,1771287069_42,False,
18,2,tool_check_inbox,0.8888888888888888,0.17647058823529413,15,1771287278_42,True,looping
29,4,tool_check_inbox,0.7931034482758621,0.32142857142857145,14,1771287320_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771287321_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,46,1771287348_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,54,1771287350_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771287380_42,True,looping
6,2,tool_check_inbox,0.8333333333333334,0.4,3,1771287555_42,False,
115,3,tool_check_inbox,0.9739130434782609,0.05263157894736842,40,1771287559_42,True,looping
7,2,tool_check_inbox,0.8571428571428571,0.3333333333333333,4,1771287583_42,False,
11,2,tool_check_inbox,0.9090909090909091,0.2,6,1771287660_42,True,looping
26,4,tool_check_inbox,0.7307692307692307,0.52,4,1771287697_42,True,looping
24,4,tool_check_inbox,0.7083333333333334,0.5652173913043478,7,1771287698_42,True,looping
22,3,tool_check_inbox,0.6363636363636364,0.5714285714285714,5,1771287777_42,False,
56,1,tool_check_inbox,1.0,0.0,56,1771287837_42,True,looping
82,3,tool_check_inbox,0.9634146341463414,0.04938271604938271,42,1771287838_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771287865_42,True,looping
56,3,tool_check_inbox,0.9642857142857143,0.07272727272727272,38,1771287914_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,42,1771287916_42,True,looping
56,2,tool_check_inbox,0.9642857142857143,0.07272727272727272,41,1771287969_42,True,looping
112,4,tool_check_inbox,0.9464285714285714,0.10810810810810811,43,1771288008_42,True,looping
13,3,tool_check_inbox,0.8461538461538461,0.3333333333333333,6,1771288092_42,True,looping
56,2,tool_check_inbox,0.9642857142857143,0.05454545454545454,48,1771288175_42,True,looping
19,4,tool_check_inbox,0.6842105263157895,0.4444444444444444,7,1771288179_42,True,looping
17,4,tool_check_inbox,0.6470588235294118,0.5625,7,1771288214_42,True,looping
98,4,tool_check_inbox,0.8979591836734694,0.15463917525773196,36,1771288278_42,True,looping
56,2,tool_check_inbox,0.9821428571428571,0.03636363636363636,41,1771288311_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771288312_42,True,looping
112,1,tool_check_inbox,1.0,0.0,112,1771288342_42,True,looping
146,4,tool_check_inbox,0.9315068493150684,0.13793103448275862,30,1771288389_42,True,looping
73,3,tool_check_inbox,0.863013698630137,0.2638888888888889,23,1771288460_42,True,looping
34,4,tool_check_inbox,0.7647058823529411,0.42424242424242425,7,1771288548_42,True,looping
11,2,tool_check_inbox,0.6363636363636364,0.4,4,1771288578_42,True,looping
15,4,tool_check_inbox,0.6666666666666666,0.5714285714285714,7,1771288616_42,True,looping
60,3,tool_check_inbox,0.9666666666666667,0.05084745762711865,39,1771288647_42,True,looping
56,1,tool_check_inbox,1.0,0.0,56,1771288648_42,True,looping
168,2,tool_check_inbox,0.9940476190476191,0.011976047904191617,90,1771288688_42,True,looping
49,2,tool_check_inbox,0.9591836734693877,0.020833333333333332,47,1771288734_42,True,looping
55,2,tool_check_inbox,0.9636363636363636,0.07407407407407407,31,1771288735_42,True,looping
132,4,tool_check_inbox,0.8863636363636364,0.22137404580152673,44,1771288770_42,True,looping
11,3,tool_check_inbox,0.8181818181818182,0.4,6,1771288813_42,True,looping
28,4,tool_check_inbox,0.75,0.4444444444444444,5,1771288814_42,True,looping
78,4,tool_check_inbox,0.9230769230769231,0.14285714285714285,20,1771288885_42,False,
168,1,tool_check_inbox,1.0,0.0,168,1771288929_42,True,looping
56,2,tool_check_inbox,0.9464285714285714,0.10909090909090909,24,1771289020_42,True,looping
67,4,tool_check_inbox,0.9253731343283582,0.15151515151515152,21,1771289022_42,True,looping
22,2,tool_check_inbox,0.9545454545454546,0.09523809523809523,15,1771289067_42,True,looping
38,3,tool_check_inbox,0.9210526315789473,0.13513513513513514,25,1771289068_42,True,looping
16,3,tool_check_inbox,0.75,0.5333333333333333,6,1771289157_42,False,
15,2,tool_check_inbox,0.8666666666666667,0.21428571428571427,8,1771289277_42,True,looping
